,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
822,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,541642000000000.0,1.37641,1.50807,13.0962,0.0,0.901531,,0.0,0.0,0.0,0.0,0.0,0.203958,0.203958,0.203958,,0.298968,1.0,0.901531,,4.78043,0.0,0.0,0.901531
823,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,540642000000000.0,1.3678,1.4977,13.0875,0.0,0.899605,,0.0,0.0,0.0,0.0,0.0,0.202447,0.202447,0.202447,,0.29911,1.0,0.899605,,4.75232,0.0,0.0,0.899605
824,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,539642000000000.0,1.35919,1.48734,13.0788,0.0,0.897665,,0.0,0.0,0.0,0.0,0.0,0.200939,0.200939,0.200939,,0.299251,1.0,0.897665,,4.72431,0.0,0.0,0.897665
825,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,538642000000000.0,1.35056,1.47697,13.07,0.0,0.895711,,0.0,0.0,0.0,0.0,0.0,0.199434,0.199434,0.199434,,0.299392,1.0,0.895711,,4.69638,0.0,0.0,0.895711
826,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,537642000000000.0,1.34193,1.46661,13.0613,0.0,0.89374,,0.0,0.0,0.0,0.0,0.0,0.19793,0.19793,0.19793,,0.299534,1.0,0.89374,,4.66852,0.0,0.0,0.89374
827,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,536642000000000.0,1.33327,1.45622,13.0525,0.0,0.891747,,0.0,0.0,0.0,0.0,0.0,0.196426,0.196426,0.196426,,0.299676,1.0,0.891747,,4.6407,0.0,0.0,0.891747
828,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,535642000000000.0,1.32462,1.44585,13.0438,0.0,0.889739,,0.0,0.0,0.0,0.0,0.0,0.194924,0.194924,0.194924,,0.299818,1.0,0.889739,,4.61298,0.0,0.0,0.889739
829,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,534642000000000.0,1.31596,1.43549,13.0351,0.0,0.887719,,0.0,0.0,0.0,0.0,0.0,0.193427,0.193427,0.193427,,0.29996,1.0,0.887719,,4.58536,0.0,0.0,0.887719
830,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,533642000000000.0,1.30731,1.42516,13.0263,0.0,0.885693,,0.0,0.0,0.0,0.0,0.0,0.191936,0.191936,0.191936,,0.3001,1.0,0.885693,,4.55789,0.0,0.0,0.885693
831,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,532642000000000.0,1.29867,1.41485,13.0175,0.0,0.883654,,0.0,0.0,0.0,0.0,0.0,0.190449,0.190449,0.190449,,0.300239,1.0,0.883654,,4.53052,0.0,0.0,0.883654
832,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,531642000000000.0,1.29003,1.40455,13.0087,0.0,0.881604,,0.0,0.0,0.0,0.0,0.0,0.188967,0.188967,0.188967,,0.300378,1.0,0.881604,,4.50327,0.0,0.0,0.881604
833,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,530642000000000.0,1.2814,1.39428,12.9999,0.0,0.879542,,0.0,0.0,0.0,0.0,0.0,0.18749,0.18749,0.18749,,0.300516,1.0,0.879542,,4.47612,0.0,0.0,0.879542
834,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,529642000000000.0,1.27277,1.38402,12.9911,0.0,0.877468,,0.0,0.0,0.0,0.0,0.0,0.186017,0.186017,0.186017,,0.300653,1.0,0.877468,,4.4491,0.0,0.0,0.877468
835,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,528642000000000.0,1.26416,1.3738,12.9823,0.0,0.875387,,0.0,0.0,0.0,0.0,0.0,0.184551,0.184551,0.184551,,0.300789,1.0,0.875387,,4.42221,0.0,0.0,0.875387
836,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,527642000000000.0,1.25556,1.36361,12.9734,0.0,0.873297,,0.0,0.0,0.0,0.0,0.0,0.183091,0.183091,0.183091,,0.300923,1.0,0.873297,,4.39545,0.0,0.0,0.873297
837,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,526642000000000.0,1.24696,1.35343,12.9646,0.0,0.871194,,0.0,0.0,0.0,0.0,0.0,0.181636,0.181636,0.181636,,0.301058,1.0,0.871194,,4.36881,0.0,0.0,0.871194
838,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,525642000000000.0,1.23838,1.34328,12.9557,0.0,0.869078,,0.0,0.0,0.0,0.0,0.0,0.180185,0.180185,0.180185,,0.301191,1.0,0.869078,,4.34228,0.0,0.0,0.869078
839,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,524642000000000.0,1.2298,1.33316,12.9469,0.0,0.86695,,0.0,0.0,0.0,0.0,0.0,0.178739,0.178739,0.178739,,0.301325,1.0,0.86695,,4.31587,0.0,0.0,0.86695
840,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,523642000000000.0,1.22123,1.32305,12.9381,0.0,0.864808,,0.0,0.0,0.0,0.0,0.0,0.177298,0.177298,0.177298,,0.301458,1.0,0.864808,,4.28957,0.0,0.0,0.864808
841,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,522642000000000.0,1.21267,1.31296,12.9293,0.0,0.862652,,0.0,0.0,0.0,0.0,0.0,0.175862,0.175862,0.175862,,0.301591,1.0,0.862652,,4.26337,0.0,0.0,0.862652
842,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,521642000000000.0,1.20412,1.3029,12.9205,0.0,0.860483,,0.0,0.0,0.0,0.0,0.0,0.17443,0.17443,0.17443,,0.301723,1.0,0.860483,,4.23729,0.0,0.0,0.860483
843,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,520642000000000.0,1.19559,1.29288,12.9117,0.0,0.858304,,0.0,0.0,0.0,0.0,0.0,0.173005,0.173005,0.173005,,0.301855,1.0,0.858304,,4.21135,0.0,0.0,0.858304
844,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,519642000000000.0,1.18707,1.28289,12.9029,0.0,0.856117,,0.0,0.0,0.0,0.0,0.0,0.171587,0.171587,0.171587,,0.301986,1.0,0.856117,,4.18555,0.0,0.0,0.856117
845,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,518642000000000.0,1.17858,1.27293,12.8942,0.0,0.853916,,0.0,0.0,0.0,0.0,0.0,0.170174,0.170174,0.170174,,0.302116,1.0,0.853916,,4.15987,0.0,0.0,0.853916
846,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,517642000000000.0,1.1701,1.26301,12.8854,0.0,0.851707,,0.0,0.0,0.0,0.0,0.0,0.168768,0.168768,0.168768,,0.302245,1.0,0.851707,,4.13433,0.0,0.0,0.851707
